0.005,199.1
0.01,89.2
0.015,84.9
0.02,82.7
0.025,91.2
0.03,96.6
0.035,87.8
0.04,82.1
0.045,93.5
0.05,87.3
0.055,82.5
0.06,83.1
0.065,84.5
0.07,83.5
0.075,82.8
0.08,84.9
0.085,91.2
0.09,94.4
0.095,93.2
0.1,94.5
0.105,93.4
0.11,82.8
0.115,83.4
0.12,83.3
0.125,83.2
0.13,127.8
0.135,118.3
0.14,126.2
0.145,106.4
0.15,109.1
0.155,108.9
0.16,115.6
0.165,104.9
0.17,136.2
0.175,119.5
0.18,114.2
0.185,111.2
0.19,116.0
0.195,126.9
0.2,112.6
0.205,114.2
0.21,112.3
0.215,110.5
0.22,112.3
0.225,114.2
0.23,111.5
0.235,112.0
0.24,108.7
0.245,108.3
0.25,110.6
