0.005,98.1
0.01,56.4
0.015,62.4
0.02,49.8
0.025,43.9
0.03,76.7
0.035,57.0
0.04,37.8
0.045,36.5
0.05,40.6
0.055,36.1
0.06,36.0
0.065,36.4
0.07,37.4
0.075,41.0
0.08,36.9
0.085,35.6
0.09,36.3
0.095,37.2
0.1,35.6
0.105,36.3
0.11,35.2
0.115,35.3
0.12,35.1
0.125,35.1
0.13,35.7
0.135,36.0
0.14,35.6
0.145,36.7
0.15,36.0
0.155,37.0
0.16,40.8
0.165,34.7
0.17,34.7
0.175,34.9
0.18,35.1
0.185,35.1
0.19,34.0
0.195,43.1
0.2,35.6
0.205,35.4
0.21,34.6
0.215,37.3
0.22,40.3
0.225,37.2
0.23,37.0
0.235,35.4
0.24,33.0
0.245,35.4
0.25,35.2
